Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
NMF;Q1;1;1;11;Update;Time;1896100
NMF;Q1;1;1;11;Update;Memory;78405632
NMF;Q1;1;1;11;Update;Elements;167197|404236|404315
NMF;Q1;1;1;12;Update;Time;2388400
NMF;Q1;1;1;12;Update;Memory;78405632
NMF;Q1;1;1;12;Update;Elements;167197|404236|404315
NMF;Q1;1;1;13;Update;Time;2116900
NMF;Q1;1;1;13;Update;Memory;78405632
NMF;Q1;1;1;13;Update;Elements;404236|167197|404315
NMF;Q1;1;1;14;Update;Time;2497900
NMF;Q1;1;1;14;Update;Memory;78405632
NMF;Q1;1;1;14;Update;Elements;404236|167197|404315
NMF;Q1;1;1;15;Update;Time;4022900
NMF;Q1;1;1;15;Update;Memory;78929920
NMF;Q1;1;1;15;Update;Elements;404236|167197|404315
NMF;Q1;1;1;16;Update;Time;3708800
NMF;Q1;1;1;16;Update;Memory;79323136
NMF;Q1;1;1;16;Update;Elements;404236|167197|404315
NMF;Q1;1;1;17;Update;Time;5590900
NMF;Q1;1;1;17;Update;Memory;79585280
NMF;Q1;1;1;17;Update;Elements;404236|167197|404315
NMF;Q1;1;1;18;Update;Time;2308300
NMF;Q1;1;1;18;Update;Memory;79585280
NMF;Q1;1;1;18;Update;Elements;404236|167197|404315
NMF;Q1;1;1;19;Update;Time;3339400
NMF;Q1;1;1;19;Update;Memory;79716352
NMF;Q1;1;1;19;Update;Elements;404236|167197|404315
NMF;Q1;1;1;20;Update;Time;3559100
NMF;Q1;1;1;20;Update;Memory;79716352
NMF;Q1;1;1;20;Update;Elements;404236|167197|404315
NMF;Q1;1;2;0;Initialization;Time;494518100
NMF;Q1;1;2;0;Initialization;Memory;74317824
NMF;Q1;1;2;0;Load;Time;78953900
NMF;Q1;1;2;0;Load;Memory;77856768
NMF;Q1;1;2;0;Initial;Time;15916100
NMF;Q1;1;2;0;Initial;Memory;78118912
NMF;Q1;1;2;0;Initial;Elements;404236|167197|404315
NMF;Q1;1;2;1;Update;Time;4002600
NMF;Q1;1;2;1;Update;Memory;78417920
NMF;Q1;1;2;1;Update;Elements;404236|167197|404315
NMF;Q1;1;2;2;Update;Time;4975700
NMF;Q1;1;2;2;Update;Memory;78417920
NMF;Q1;1;2;2;Update;Elements;404236|167197|404315
NMF;Q1;1;2;3;Update;Time;2096300
NMF;Q1;1;2;3;Update;Memory;78417920
NMF;Q1;1;2;3;Update;Elements;404236|167197|404315
NMF;Q1;1;2;4;Update;Time;1778200
NMF;Q1;1;2;4;Update;Memory;78417920
NMF;Q1;1;2;4;Update;Elements;167197|404236|404315
NMF;Q1;1;2;5;Update;Time;2478100
NMF;Q1;1;2;5;Update;Memory;78417920
